subject_id,Age,Gender,Race_ethnicity
081p6mmlqm,18,Female,White
0y1alrgtly,19,Female ,Hispanic
2r3oabloqx,19,Woman,White
7v1vl7rlxg,19,Female,White
bx6fxnxppe,18,woman,"black, hispanic, white"
c8dhga6mt1,19,Female,White
dbu0as3z9v,19,Female ,White 
dqw09ypkx4,18,Female,White
drw8efz1wo,19,Female,White
es7zgof0c6,20,Female,White
fdln2nwy77,18,Female,African American
fvnyq9c7tk,21,Non Binary,Asian
gs4ycpdv9u,21,Female,Latina
h9djy2ulh8,18,female,white
j8j30x9pom,19,female,white
jqdze14w4j,21,Female,White
k8r06o0qcm,22,female,white/black/hispanic
lzu0nedmeu,20,male,colombian
m52n5klb4f,19,female,white
ndfxaygqlr,20,Female,White + Middle Eastern
npokc0rr9m,19,Female,White
nzhayvjwsn,18,Female,Asian
ovhekk7ag6,18,Male,Hispanic/Latino
pdf2rbv2n2,21,Male,White
pnm986xb0e,20,female,white
pvxyycgh24,18,Female,White
q6rxgmts4e,18,Female,Asian-American 
rhrtg56cj1,19,Female,White
rpz1adj582,20,Female,White
scaphs63d8,19,female,white
tr7c5ukg32,19,Female,Mixed
uevxpwq0ew,19,female,white
v8yle9qxll,18,female,white
v9ucv8seu0,20,Male,White
vyfak928l8,19,Female,Asian
x6ulqhd36b,19,Female,White
yqnx1r7gp7,19,female,white/caucasian
yv8vv7ym66,19,Female,South Asian
zqn7kjv1ok,20,Female,Indian
